CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
813,Germany,Female,29,5,106059.4,1,0,0,187976.88
681,Germany,Male,37,8,73179.34,2,1,1,25292.53
642,Germany,Male,49,4,120688.61,1,1,0,24770.22
612,France,Female,31,8,117989.76,1,1,1,54129.86
586,France,Male,33,9,0.0,1,1,0,6975.02
477,France,Female,57,9,114023.64,2,1,1,71167.17
701,France,Male,33,9,147510.34,1,1,0,190611.92
671,France,Male,30,2,0.0,1,0,1,102057.86
643,Germany,Male,41,2,127841.52,1,1,0,172363.41
751,France,Female,37,9,183613.66,2,0,0,49734.94
640,France,Female,31,9,138857.59,1,1,0,48640.77
850,France,Female,27,7,43658.33,2,1,1,3025.49
475,France,Male,39,6,0.0,1,1,1,56999.9
597,Germany,Female,35,8,131101.04,1,1,1,192852.67
567,Germany,Male,40,7,122265.24,1,1,0,138552.74
747,France,Female,34,10,0.0,2,1,1,50759.8
671,Germany,Female,47,7,114603.76,2,1,0,153194.32
602,Germany,Female,43,2,113641.49,4,1,0,115116.35
464,France,Female,33,10,147493.7,2,1,0,100447.53
724,Germany,Female,35,0,171982.95,2,0,1,167313.07
607,France,Female,31,1,102523.88,1,1,1,166792.71
694,Germany,Female,58,1,143212.22,1,0,0,102628.56
463,France,Male,35,2,101257.16,1,1,1,118113.64
599,Spain,Male,34,2,101506.66,1,0,0,198030.24
405,Germany,Male,31,5,133299.67,2,1,1,72950.14
746,France,Male,36,9,127157.04,1,1,1,155700.15
693,France,Male,31,1,0.0,2,0,1,182270.88
619,France,Female,40,10,0.0,1,1,1,147093.84
538,Germany,Female,28,6,164365.44,1,0,1,5698.97
541,France,Male,46,6,0.0,2,1,1,83456.67
644,Spain,Male,54,6,0.0,1,0,1,84622.37
562,Spain,Male,36,5,0.0,1,0,1,182843.24
762,France,Male,36,5,119547.46,1,1,1,42693.65
749,Germany,Male,46,10,78136.36,2,1,1,73470.98
509,France,Male,26,10,0.0,2,1,1,6177.83
554,Germany,Male,26,4,121365.39,1,1,1,8742.36
689,Spain,Female,40,5,154251.67,1,0,1,118319.5
592,France,Male,60,9,0.0,4,1,1,13614.01
554,Spain,Male,46,4,0.0,2,0,1,57320.92
568,Germany,Female,29,2,129177.01,2,0,1,104617.99
697,Spain,Male,62,7,0.0,1,1,0,129188.18
575,France,Female,40,1,139532.34,1,1,0,181294.39
582,France,Female,38,9,135979.01,4,1,1,76582.95
790,Spain,Female,46,9,0.0,1,0,0,14679.81
610,Spain,Female,45,3,0.0,1,1,0,38276.84
633,France,Male,59,5,0.0,1,1,1,137273.97
633,Germany,Male,42,3,126041.02,1,0,1,11796.89
712,France,Female,30,1,89571.59,1,1,1,177613.19
646,Spain,Male,31,2,0.0,1,1,1,170821.43
618,Germany,Female,40,0,140306.38,1,1,0,160618.61
672,Germany,Female,23,10,110741.56,1,1,0,80778.5
696,Germany,Male,30,4,114027.7,1,1,1,193716.56
554,Germany,Female,31,6,135470.9,1,1,0,107074.81
620,Germany,Female,34,8,102251.57,1,1,0,120672.09
529,France,Female,43,0,123815.86,1,1,1,78463.99
479,Germany,Female,30,7,143964.36,2,1,0,41879.99
648,Spain,Female,27,7,0.0,2,1,1,163060.43
710,France,Female,31,3,0.0,2,1,1,112289.06
688,Spain,Male,37,7,138162.41,2,1,1,113926.31
756,Germany,Male,36,2,136815.64,1,1,1,170041.95
679,Spain,Male,58,9,109327.65,1,1,1,3829.13
585,Spain,Male,36,10,0.0,2,1,1,180318.6
677,France,Male,46,2,57037.74,1,1,1,158531.01
755,France,Male,62,1,127706.33,2,0,1,142377.69
656,France,Female,46,5,113402.14,2,1,1,138849.06
428,France,Female,31,2,0.0,2,1,0,54487.43
850,France,Male,41,3,136416.82,1,0,1,57844.26
632,Germany,Male,42,6,59972.26,2,0,1,148172.94
687,Spain,Male,31,3,0.0,2,0,0,48228.1
627,France,Female,44,5,0.0,2,1,0,82969.61
791,France,Male,37,2,163789.49,2,1,0,75832.53
610,Spain,Female,50,5,130554.51,3,1,0,184758.17
524,France,Male,50,4,0.0,2,1,1,31840.59
649,France,Male,41,0,0.0,2,0,1,130567.02
516,France,Male,35,10,104088.59,2,0,0,119666.0
563,France,Female,35,2,183572.84,1,1,1,66006.75
565,Germany,Female,40,1,89994.71,2,0,1,121084.27
529,Spain,Male,38,7,99842.5,2,1,0,90256.06
478,Spain,Female,36,3,92363.3,2,1,0,44912.7
557,France,Female,27,2,0.0,2,0,1,4497.55
633,Germany,Female,29,8,104944.1,1,1,1,97684.46
637,France,Female,21,10,125712.2,1,0,0,175072.47
682,France,Male,69,6,0.0,2,0,1,149604.18
741,Germany,Female,36,0,127675.39,2,1,0,74260.16
475,France,Female,57,1,0.0,2,1,0,89248.99
659,Germany,Male,34,9,134464.58,2,1,0,178833.34
792,France,Female,70,3,0.0,2,1,1,172240.27
696,France,Male,22,9,149777.0,1,1,1,198032.93
780,France,Female,43,0,0.0,1,0,1,15705.27
594,France,Male,35,2,0.0,2,1,0,103480.69
714,France,Female,72,3,0.0,1,1,1,86733.61
647,France,Female,29,0,98263.46,2,1,0,164717.95
734,France,Male,45,2,0.0,2,1,0,99593.28
614,France,Female,37,8,75150.34,4,0,1,131766.67
601,Germany,Female,26,7,105514.69,2,1,0,50070.59
525,France,Female,25,6,0.0,2,1,0,89566.64
595,Spain,Male,36,6,85768.42,1,1,1,24802.77
624,Spain,Male,33,6,0.0,2,0,0,76551.7
732,France,Female,34,8,122338.43,2,1,0,187985.85
601,France,Female,37,5,0.0,1,0,0,20708.6
605,France,Female,62,4,111065.93,2,0,1,125660.99
550,France,Female,40,7,114354.95,1,1,0,54018.93
602,Spain,Male,33,5,0.0,2,0,1,64038.34
770,Spain,Male,30,8,0.0,2,0,1,50839.85
568,Spain,Female,36,10,153610.61,1,1,1,54083.8
760,France,Female,51,2,100946.71,1,0,0,179614.8
496,France,Female,34,1,102723.35,2,1,0,180844.81
